日线	000581	威孚高科										
时间	开盘价	最高价	最低价	收盘价	成交量	成交额	MA.MA1	MA.MA2	MA.MA3	MA.MA4	MA.MA5	MA.MA6
20090715	12.57999992	12.60000038	12.21000004	12.39999962	115674	14333.40039	11.95800018	11.68700027	11.37549877	11.40199757	9.924249649	8.03536129
20090714	11.81000042	12.52000046	11.81000042	12.39999962	232900	28609.19922	11.73399925	11.61600018	11.30799866	11.39799881	9.86958313	8.019680023
20090713	11.60999966	11.89999962	11.51000023	11.80000019	128554	15138.7002	11.52799988	11.47400093	11.24699879	11.39066601	9.812582016	8.00232029
20090710	11.60999966	11.77999973	11.5	11.60999966	108956	12687.5	11.42400074	11.37100029	11.21499825	11.40100002	9.76074791	7.987120152
20090709	11.27999973	11.71000004	11.18000031	11.57999992	105422	12074.5	11.38599968	11.30900002	11.19499874	11.41600132	9.70899868	7.975039959
20090708	11.30000019	11.40999985	11.10000038	11.27999973	78637	8816.599609	11.41599941	11.26000023	11.20300007	11.47666836	9.656665802	7.962760448
20090707	11.27000046	11.56999969	11.23999977	11.36999989	75837	8655.799805	11.49799919	11.22300053	11.22249985	11.55300045	9.608998299	7.955440044
20090706	11.39999962	11.60000038	11.23999977	11.27999973	83894	9540.400391	11.42000008	11.17400074	11.22550011	11.60900211	9.559915543	7.948120117
20090703	11.68000031	11.68000031	11.39999962	11.42000008	87528	10056.5	11.31799889	11.15399933	11.24250031	11.6536684	9.510082245	7.938999653
20090702	11.68000031	11.98999977	11.43999958	11.72999954	150675	17663.40039	11.2319994	11.11699963	11.25349998	11.71633434	9.456582069	7.927479267
20090701	10.94999981	11.86999989	10.84000015	11.68999958	227670	26017.09961	11.10399914	11.06400013	11.2595005	11.76866627	9.400415421	7.914439678
20090630	10.80000019	11.09000015	10.60999966	10.97999954	119656	12959.09961	10.94799995	10.99999809	11.28900051	11.82899952	9.345499039	7.900359154
20090629	10.97999954	11	10.75	10.77000046	75226	8133.600098	10.92800045	11.01999855	11.34900093	11.88299942	9.297498703	7.892759323
20090626	11.14000034	11.18999958	10.86999989	10.98999977	68636	7545.799805	10.98999977	11.05899906	11.41600132	11.92633247	9.252748489	7.882678986
20090625	10.89999962	11.14999962	10.85999966	11.09000015	109198	12045.7998	11.00200081	11.08099937	11.46950054	11.96166611	9.205582619	7.872078896
20090624	10.88000011	10.94999981	10.60000038	10.90999985	107087	11518.5	11.02400017	11.14600086	11.58500099	11.9873333	9.157999992	7.862598896
20090623	10.94999981	11.03999996	10.73999977	10.88000011	111401	12099.7998	11.05200005	11.22200012	11.71800041	12.02799988	9.115833282	7.856199265
20090622	11.14999962	11.14999962	10.96000004	11.07999992	71037	7852.799805	11.11199951	11.27700043	11.82650185	12.05700016	9.075166702	7.853238583
20090619	11.25	11.27999973	11	11.05000019	90504	10041.7998	11.12800026	11.33100033	11.90350151	12.07899952	9.030750275	7.853999138
20090618	11.05000019	11.27999973	11	11.19999981	103552	11542.90039	11.15999985	11.39000034	12.01600075	12.09399986	8.986166	7.854598999
20090617	11.09000015	11.17000008	10.81000042	11.05000019	96095	10573.2002	11.26799965	11.45499992	12.12100124	12.09899998	8.94041729	7.854918957
20090616	11.10000038	11.30000019	10.96000004	11.18000031	68544	7597.799805	11.3920002	11.57799911	12.24350166	12.09233284	8.895417213	7.857679367
20090615	11.28999996	11.28999996	10.96000004	11.15999985	62614	6953.100098	11.44199944	11.6779995	12.31450081	12.06966782	8.848750114	7.861557961
20090612	11.73999977	11.73999977	11.10999966	11.21000004	104674	11871.2998	11.53399944	11.77299976	12.36000156	12.03166676	8.805500031	7.865077972
20090611	11.77999973	11.94999981	11.63000011	11.73999977	99695	11742.09961	11.61999989	11.8579998	12.40200043	11.98799992	8.762500763	7.867798328
